dominant_trait,games,top4_rate,avg_placement,win_rate
Unknown,254,0.768,2.76,0.563
TFT16_Shurima,137,0.759,2.964,0.35
TFT16_Warden,737,0.586,4.213,0.098
TFT16_Slayer,275,0.585,4.178,0.069
TFT16_Gunslinger,33,0.576,3.909,0.242
TFT16_Sorcerer,1068,0.567,4.135,0.172
TFT16_Juggernaut,778,0.553,4.35,0.104
TFT4_Elderwood,22,0.545,4.318,0.182
TFT16_Void,691,0.544,4.207,0.158
TFT16_Brawler,1123,0.527,4.408,0.109
TFT16_Vanquisher,112,0.527,4.25,0.116
TFT16_Freljord,1338,0.519,4.406,0.121
TFT16_Rapidfire,31,0.516,4.323,0.161
TFT16_Targon,442,0.514,4.407,0.113
TFT16_Zaun,1031,0.507,4.523,0.091
TFT16_Ionia,2867,0.505,4.505,0.099
TFT16_Noxus,2873,0.495,4.447,0.144
TFT16_Bilgewater,1860,0.484,4.509,0.16
TFT16_Demacia,1777,0.469,4.624,0.123
TFT16_Magus,120,0.467,4.533,0.133
TFT16_Piltover,1115,0.466,4.668,0.152
TFT4_Cultist,22,0.455,4.909,0.0
TFT16_Yordle,743,0.451,4.751,0.11
TFT16_Defender,880,0.432,4.948,0.084
TFT16_Invoker,100,0.42,5.13,0.08
TFT16_ShadowIsles,382,0.401,4.903,0.068
TFT16_Explorer,835,0.374,5.182,0.139
